"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","birthdate","gender","emailaddress","addressline1","datefirstpurchase","commutedistance","stateprovincecode","stateprovincename","countryregioncode","englishcountryregionname","postalcode","salesterritorykey","ipaddresslocator"
15449,277,"AW00015449","Cedric",NULL,"Yuan","1940-08-14","M","cedric28@adventure-works.com","4524 P St.","2022-06-04","0-1 Miles","ENG","England","GB","United Kingdom","Y024 1GF",10,"192.0.2.24"
15450,184,"AW00015450","Marshall","D","Black","1941-12-08","M","marshall40@adventure-works.com","48bis, boulevard du Montparnasse","2022-03-01","0-1 Miles","57","Moselle","FR","France","57000",7,"198.51.100.185"
15451,211,"AW00015451","Linda","A","Munoz","1967-11-16","F","linda22@adventure-works.com","8, quai de Grenelle","2021-07-09","0-1 Miles","91","Essonne","FR","France","91940",7,"198.51.100.212"
15452,206,"AW00015452","Alison",NULL,"Goel","1964-02-16","F","alison20@adventure-works.com","9851, rue de Varenne","2022-03-20","0-1 Miles","77","Seine et Marne","FR","France","77680",7,"198.51.100.207"
15453,261,"AW00015453","Isabelle","C","Barnes","1969-08-07","F","isabelle3@adventure-works.com","4771 Kenston Dr","2020-10-05","0-1 Miles","ENG","England","GB","United Kingdom","NT20",10,"192.0.2.8"
15454,162,"AW00015454","Ian","K","Bennett","1961-03-02","M","ian41@adventure-works.com","Auf dem Ufer 664","2021-01-28","0-1 Miles","NW","Nordrhein-Westfalen","DE","Germany","59368",8,"198.51.100.163"
15455,189,"AW00015455","Denise","F","Raman","1945-10-07","F","denise13@adventure-works.com","11, avenue du Président-Kennedy","2021-07-08","0-1 Miles","59","Nord","FR","France","59100",7,"198.51.100.190"
15456,175,"AW00015456","Donald",NULL,"Suri","1946-04-13","M","donald2@adventure-works.com","Alderstr 2646","2021-01-20","0-1 Miles","SL","Saarland","DE","Germany","66740",8,"198.51.100.176"
15457,171,"AW00015457","Adriana","S","Martinez","1946-08-28","F","adriana18@adventure-works.com","Brunnenstr 6675","2020-12-31","0-1 Miles","SL","Saarland","DE","Germany","66578",8,"198.51.100.172"
15458,120,"AW00015458","Krystal","M","Ma","1953-06-23","F","krystal16@adventure-works.com","Wertheimer Straße 432","2022-08-15","0-1 Miles","BY","Bayern","DE","Germany","95010",8,"198.51.100.121"
15459,149,"AW00015459","Beth",NULL,"Dominguez","1947-10-11","F","beth15@adventure-works.com","Herzogstr 228","2022-06-29","0-1 Miles","HH","Hamburg","DE","Germany","63151",8,"198.51.100.150"
15460,173,"AW00015460","Bethany",NULL,"Nara","1953-02-09","F","bethany20@adventure-works.com","Am Karlshof 6200","2020-12-29","0-1 Miles","SL","Saarland","DE","Germany","66041",8,"198.51.100.174"
15461,238,"AW00015461","Alberto","R","Gutierrez","1947-11-10","M","alberto12@adventure-works.com","8641 Summit View Dr.","2022-02-13","0-1 Miles","ENG","England","GB","United Kingdom","GA10",10,"198.51.100.239"
15462,215,"AW00015462","Tony","C","Chande","1949-02-23","M","tony17@adventure-works.com","Attaché de Presse","2021-07-17","0-1 Miles","92","Hauts de Seine","FR","France","92700",7,"198.51.100.216"
15463,216,"AW00015463","Terrence","T","Yuan","1949-05-18","M","terrence7@adventure-works.com","663, rue des Ecoles","2021-07-25","1-2 Miles","92","Hauts de Seine","FR","France","92400",7,"198.51.100.217"
15464,22,"AW00015464","Kristi",NULL,"Blanco","1985-10-02","F","kristi11@adventure-works.com","6027 Lisa Ann Street","2022-09-06","0-1 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
15465,34,"AW00015465","Jacquelyn",NULL,"Navarro","1986-03-03","F","jacquelyn10@adventure-works.com","8589 Shady Ln.","2022-03-02","0-1 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
15466,358,"AW00015466","Elijah",NULL,"Perez","1975-07-08","M","elijah32@adventure-works.com","2590 Concord","2021-06-02","2-5 Miles","CA","California","US","United States","94070",4,"192.0.2.105"
15467,301,"AW00015467","Caleb","A","Shan","1976-01-30","M","caleb27@adventure-works.com","8483 Arizona Drive","2021-06-22","2-5 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
15468,65,"AW00015468","Emma",NULL,"Foster","1976-05-09","F","emma62@adventure-works.com","3718 Loma Linda","2022-02-22","0-1 Miles","BC","British Columbia","CA","Canada","V9B 5T2",6,"198.51.100.66"
15469,368,"AW00015469","Fernando","L","Williams","1981-10-24","M","fernando3@adventure-works.com","7172 Parkway Drive","2022-02-09","0-1 Miles","CA","California","US","United States","95062",4,"192.0.2.115"
15470,335,"AW00015470","Hailey","M","Lopez","1981-02-17","F","hailey60@adventure-works.com","6345 Dartmouth Way","2022-08-15","0-1 Miles","CA","California","US","United States","91945",4,"192.0.2.82"
15471,352,"AW00015471","Destiny","D","White","1974-09-05","F","destiny12@adventure-works.com","9428 Veronica Ct.","2021-06-03","2-5 Miles","CA","California","US","United States","94303",4,"192.0.2.99"
15472,627,"AW00015472","Jennifer","B","Torres","1980-10-14","F","jennifer67@adventure-works.com","7688 P St.","2021-05-31","2-5 Miles","WA","Washington","US","United States","98270",1,"203.0.113.120"
15473,312,"AW00015473","Abigail",NULL,"Jenkins","1974-10-13","F","abigail32@adventure-works.com","4838 Second Street","2021-05-30","0-1 Miles","CA","California","US","United States","92118",4,"192.0.2.59"
15474,300,"AW00015474","Cameron","M","Lal","1974-10-30","M","cameron25@adventure-works.com","536 Panoramic Avenue","2021-06-20","2-5 Miles","CA","California","US","United States","90210",4,"192.0.2.47"
15475,385,"AW00015475","Kaitlyn","S","Brooks","1980-10-14","F","kaitlyn65@adventure-works.com","1342 Isla Bonita","2021-06-20","0-1 Miles","CA","California","US","United States","91364",4,"192.0.2.132"
15476,337,"AW00015476","Alyssa",NULL,"Powell","1975-05-01","F","alyssa55@adventure-works.com","8597 Sandra","2022-01-31","2-5 Miles","CA","California","US","United States","90802",4,"192.0.2.84"
15477,310,"AW00015477","Jose","J","Adams","1975-02-08","M","jose51@adventure-works.com","8735 Golf Club Rd.","2022-12-14","2-5 Miles","CA","California","US","United States","94014",4,"192.0.2.57"
15478,53,"AW00015478","Melanie","B","Russell","1977-02-15","F","melanie7@adventure-works.com","498 Willow Pass Rd","2022-01-30","0-1 Miles","BC","British Columbia","CA","Canada","V9",6,"198.51.100.54"
15479,631,"AW00015479","Andrea",NULL,"Wright","1977-02-17","F","andrea42@adventure-works.com","1086 Rose Dr.","2022-11-20","0-1 Miles","WA","Washington","US","United States","98501",1,"203.0.113.124"
15480,301,"AW00015480","Denise","K","Lopez","1977-01-19","F","denise17@adventure-works.com","6843 San Simeon Dr.","2021-07-15","0-1 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
15481,302,"AW00015481","Jamie","M","Zhang","1982-08-21","F","jamie2@adventure-works.com","267 Aspen Drive","2021-07-14","2-5 Miles","CA","California","US","United States","94010",4,"192.0.2.49"
15482,307,"AW00015482","Audrey","L","Rubio","1976-08-07","F","audrey23@adventure-works.com","1713 StandingView Dr.","2021-07-11","2-5 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
15483,361,"AW00015483","Katherine",NULL,"Robinson","1976-11-04","F","katherine89@adventure-works.com","7294 Kathleen Drive","2021-07-09","0-1 Miles","CA","California","US","United States","91776",4,"192.0.2.108"
15484,383,"AW00015484","Samuel","L","Henderson","1976-12-17","M","samuel3@adventure-works.com","9414 Pampered Ct","2021-07-22","0-1 Miles","CA","California","US","United States","91791",4,"192.0.2.130"
15485,329,"AW00015485","Jordan",NULL,"Wright","1975-05-19","F","jordan49@adventure-works.com","8308 Roskelley Drive","2022-03-12","2-5 Miles","CA","California","US","United States","91932",4,"192.0.2.76"
15486,553,"AW00015486","Kevin",NULL,"Griffin","1975-03-23","M","kevin23@adventure-works.com","7905 Nottingham Place","2022-06-21","0-1 Miles","OR","Oregon","US","United States","97071",1,"203.0.113.46"
15487,372,"AW00015487","Jesse",NULL,"Ramirez","1975-03-09","M","jesse7@adventure-works.com","9746 Gumwood Dr.","2022-03-07","2-5 Miles","CA","California","US","United States","91977",4,"192.0.2.119"
15488,43,"AW00015488","Evan","J","Richardson","1974-09-24","M","evan10@adventure-works.com","6713 Eaker Way","2022-06-10","0-1 Miles","BC","British Columbia","CA","Canada","V3J 6Z3",6,"198.51.100.44"
15489,644,"AW00015489","Emily",NULL,"Thompson","1974-01-23","F","emily16@adventure-works.com","5230 E. 67th Street","2021-07-06","2-5 Miles","WA","Washington","US","United States","99362",1,"203.0.113.137"
15490,60,"AW00015490","Kaitlyn","R","Rivera","1973-08-02","F","kaitlyn55@adventure-works.com","9748 Sutherland Dr","2022-07-04","0-1 Miles","BC","British Columbia","CA","Canada","V6B 3P7",6,"198.51.100.61"
15491,403,"AW00015491","Shannon","A","Li","1979-04-20","F","shannon3@adventure-works.com","5243 Harmony Way","2021-06-30","2-5 Miles","FL","Florida","US","United States","33755",5,"192.0.2.150"
15583,14,"AW00015583","Lindsey",NULL,"Xu","1974-03-28","F","lindsey5@adventure-works.com","6107 Westwood Dr","2022-06-02","10+ Miles","NSW","New South Wales","AU","Australia","2138",9,"198.51.100.15"
15492,623,"AW00015492","Grace","J","Long","1985-04-14","F","grace57@adventure-works.com","2135 St. Paul Way","2021-07-06","2-5 Miles","WA","Washington","US","United States","98033",1,"203.0.113.116"
15493,543,"AW00015493","Eric","N","Chen","1979-09-16","M","eric33@adventure-works.com","1986 St. Andrews Way","2021-06-30","2-5 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
15494,69,"AW00015494","Anna","D","Ross","1974-05-14","F","anna28@adventure-works.com","2775 Heather Leaf Ln.","2022-02-26","0-1 Miles","BC","British Columbia","CA","Canada","V8V",6,"198.51.100.70"
15495,307,"AW00015495","Craig","A","Alonso","1972-11-14","M","craig9@adventure-works.com","7136 Almond Drive","2022-12-29","2-5 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
15496,310,"AW00015496","Kelli","V","Goel","1973-03-07","F","kelli42@adventure-works.com","143 Pecan Pl.","2022-03-05","2-5 Miles","CA","California","US","United States","94014",4,"192.0.2.57"
15497,347,"AW00015497","Katelyn","R","Phillips","1972-09-01","F","katelyn28@adventure-works.com","6084 Norris Court","2021-07-02","0-1 Miles","CA","California","US","United States","94947",4,"192.0.2.94"
15498,64,"AW00015498","Alexandra","E","Washington","1975-08-08","F","alexandra36@adventure-works.com","8595 Central Avenue","2022-02-20","0-1 Miles","BC","British Columbia","CA","Canada","V9B 2C3",6,"198.51.100.65"
15499,638,"AW00015499","Robert",NULL,"Thomas","1976-06-22","M","robert69@adventure-works.com","5619 Ida Drive","2021-07-09","0-1 Miles","WA","Washington","US","United States","98284",1,"203.0.113.131"
15500,302,"AW00015500","Keith",NULL,"Raji","1975-07-25","M","keith25@adventure-works.com","7248 Holiday Hills Dr.","2021-07-22","0-1 Miles","CA","California","US","United States","94010",4,"192.0.2.49"
15501,310,"AW00015501","Justin",NULL,"Simmons","1975-12-19","M","justin12@adventure-works.com","1046 San Carlos Avenue","2021-07-29","2-5 Miles","CA","California","US","United States","94014",4,"192.0.2.57"
15502,539,"AW00015502","Nathaniel","C","Howard","1978-10-15","M","nathaniel12@adventure-works.com","91 Yukon St.","2021-07-15","2-5 Miles","OR","Oregon","US","United States","97330",1,"203.0.113.32"
15503,638,"AW00015503","Caitlin","V","James","1978-08-22","F","caitlin6@adventure-works.com","8022 Muy Verde","2021-07-07","2-5 Miles","WA","Washington","US","United States","98284",1,"203.0.113.131"
15504,618,"AW00015504","Jared","M","James","1972-09-29","M","jared1@adventure-works.com","4655 Dubhe Court","2022-05-19","0-1 Miles","WA","Washington","US","United States","98027",1,"203.0.113.111"
15505,552,"AW00015505","Gabriella","A","Bailey","1972-08-06","F","gabriella14@adventure-works.com","3004 Zulu Court","2022-06-23","0-1 Miles","OR","Oregon","US","United States","97068",1,"203.0.113.45"
15506,302,"AW00015506","Evan","C","Sanders","1982-09-20","M","evan3@adventure-works.com","6743 E. Leland","2021-07-23","2-5 Miles","CA","California","US","United States","94010",4,"192.0.2.49"
15507,70,"AW00015507","Hailey",NULL,"Campbell","1972-03-27","F","hailey49@adventure-works.com","3908 Alaska Drive","2022-01-28","0-1 Miles","BC","British Columbia","CA","Canada","V3L 1E7",6,"198.51.100.71"
15508,626,"AW00015508","Megan",NULL,"Brooks","1972-02-05","F","megan47@adventure-works.com","3284 S. Bascom Avenue","2022-07-23","2-5 Miles","WA","Washington","US","United States","98036",1,"203.0.113.119"
15509,648,"AW00015509","Zachary",NULL,"Washington","1971-08-23","M","zachary12@adventure-works.com","5718 Janin Pl","2022-03-15","2-5 Miles","WA","Washington","US","United States","98901",1,"203.0.113.141"
15510,536,"AW00015510","Ernest",NULL,"She","1977-10-20","M","ernest21@adventure-works.com","6091 Bluefish Lane","2022-08-22","2-5 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
15511,66,"AW00015511","Haley",NULL,"Kelly","1974-08-11","F","haley18@adventure-works.com","7132 Rainier Dr.","2022-04-15","0-1 Miles","BC","British Columbia","CA","Canada","V0",6,"198.51.100.67"
15512,607,"AW00015512","Jose","M","Hayes","1975-01-29","M","jose17@adventure-works.com","3141 Jabber Place","2022-10-23","0-1 Miles","WA","Washington","US","United States","98107",1,"203.0.113.100"
15513,635,"AW00015513","Madeline","E","Perez","1975-04-19","F","madeline12@adventure-works.com","734 Mt. Tamalpais Place","2022-08-16","2-5 Miles","WA","Washington","US","United States","98055",1,"203.0.113.128"
15514,644,"AW00015514","Angela",NULL,"Ramirez","1974-11-16","F","angela33@adventure-works.com","995 Roundtree Place","2022-05-27","2-5 Miles","WA","Washington","US","United States","99362",1,"203.0.113.137"
15515,648,"AW00015515","Carlos","K","Wright","1974-10-08","M","carlos49@adventure-works.com","360 Vista Way","2022-11-30","2-5 Miles","WA","Washington","US","United States","98901",1,"203.0.113.141"
15516,307,"AW00015516","Shaun","V","Raje","1980-10-14","M","shaun15@adventure-works.com","2063 Trafalgar Circle","2022-07-03","2-5 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
15517,369,"AW00015517","Thomas","C","Edwards","1980-01-19","M","thomas38@adventure-works.com","5322 Mitchell Canyon Rd.","2021-07-01","0-1 Miles","CA","California","US","United States","90401",4,"192.0.2.116"
15518,374,"AW00015518","Richard","A","Bryant","1975-03-12","M","richard73@adventure-works.com","292 Shangri-la Rd.","2021-07-16","0-1 Miles","CA","California","US","United States","90505",4,"192.0.2.121"
15519,536,"AW00015519","Jennifer","K","Evans","1927-05-10","F","jennifer4@adventure-works.com","600 Lake Place","2022-04-27","0-1 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
15520,312,"AW00015520","Desiree",NULL,"Navarro","1970-12-17","F","desiree6@adventure-works.com","611 Hilltop Dr.","2021-07-07","0-1 Miles","CA","California","US","United States","92118",4,"192.0.2.59"
15521,298,"AW00015521","Kathryn",NULL,"Deng","1976-05-21","F","kathryn1@adventure-works.com","2748 Pine St.","2021-08-03","10+ Miles","CA","California","US","United States","90706",4,"192.0.2.45"
15522,547,"AW00015522","Ethan","I","Russell","1976-09-03","M","ethan16@adventure-works.com","5533 Fremont Street","2022-08-17","0-1 Miles","OR","Oregon","US","United States","97205",1,"203.0.113.40"
15523,627,"AW00015523","Jonathan",NULL,"Yang","1969-08-07","M","jonathan26@adventure-works.com","1481 Bent Street","2021-08-07","2-5 Miles","WA","Washington","US","United States","98270",1,"203.0.113.120"
15524,542,"AW00015524","Dalton","M","Stone","1975-09-12","M","dalton0@adventure-works.com","3989 Terrace Drive","2022-05-21","2-5 Miles","OR","Oregon","US","United States","97034",1,"203.0.113.35"
15525,301,"AW00015525","Marie","E","Gonzalez","1975-02-08","F","marie20@adventure-works.com","2431 Keith Court","2021-08-01","5-10 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
15526,70,"AW00015526","Isabelle","A","Flores","1969-12-17","F","isabelle11@adventure-works.com","926 Morning Way","2022-02-20","0-1 Miles","BC","British Columbia","CA","Canada","V3L 1E7",6,"198.51.100.71"
15527,329,"AW00015527","Megan","C","Rivera","1969-10-06","F","megan37@adventure-works.com","9265 La Paz","2021-08-13","0-1 Miles","CA","California","US","United States","91932",4,"192.0.2.76"
15528,545,"AW00015528","Lucas",NULL,"Ramirez","1979-10-01","M","lucas79@adventure-works.com","6587 B Way","2021-08-19","2-5 Miles","OR","Oregon","US","United States","97222",1,"203.0.113.38"
15529,626,"AW00015529","Jason",NULL,"Allen","1969-01-01","M","jason50@adventure-works.com","16 Woodside Court","2021-08-05","2-5 Miles","WA","Washington","US","United States","98036",1,"203.0.113.119"
15530,66,"AW00015530","Madison","L","Johnson","1968-09-30","F","madison1@adventure-works.com","9171 Driftwood Court","2022-12-16","0-1 Miles","BC","British Columbia","CA","Canada","V0",6,"198.51.100.67"
15531,610,"AW00015531","Calvin","A","Raji","1968-12-11","M","calvin20@adventure-works.com","5509 Newcastle Road","2021-08-05","2-5 Miles","WA","Washington","US","United States","98011",1,"203.0.113.103"
15532,307,"AW00015532","Marshall",NULL,"Jai","1968-08-03","M","marshall32@adventure-works.com","5009 Orange Street","2021-08-27","2-5 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
15533,360,"AW00015533","Anna","R","Richardson","1979-09-06","F","anna14@adventure-works.com","7008 Mines Road","2022-08-19","0-1 Miles","CA","California","US","United States","94109",4,"192.0.2.107"
15534,547,"AW00015534","Steven",NULL,"Bell","1969-03-21","M","steven23@adventure-works.com","5134 Red Leaf","2021-08-05","2-5 Miles","OR","Oregon","US","United States","97205",1,"203.0.113.40"
15535,302,"AW00015535","Jordan","L","Scott","1969-04-30","M","jordan69@adventure-works.com","7032 Clyde Street","2021-08-23","2-5 Miles","CA","California","US","United States","94010",4,"192.0.2.49"
15536,52,"AW00015536","Victoria","A","Thomas","1974-08-09","F","victoria12@adventure-works.com","194 Hoover Court","2022-07-25","0-1 Miles","BC","British Columbia","CA","Canada","V3A 4R2",6,"198.51.100.53"
15537,325,"AW00015537","Destiny",NULL,"Peterson","1968-07-22","F","destiny40@adventure-works.com","8634 Forte Way","2021-08-05","2-5 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
15538,326,"AW00015538","Luis",NULL,"Lal","1969-02-24","M","luis29@adventure-works.com","9039 Blocking Ct.","2021-08-25","0-1 Miles","CA","California","US","United States","91941",4,"192.0.2.73"
15539,299,"AW00015539","Raul",NULL,"Goel","1967-07-23","M","raul17@adventure-works.com","8634 Forte Way","2022-10-13","2-5 Miles","CA","California","US","United States","94704",4,"192.0.2.46"
15540,302,"AW00015540","Randall","C","Ortega","1973-04-04","M","randall24@adventure-works.com","5513 Cortes","2021-08-23","0-1 Miles","CA","California","US","United States","94010",4,"192.0.2.49"
15541,352,"AW00015541","Zoe","J","Morris","1967-10-05","F","zoe17@adventure-works.com","734 Balboa Ct.","2022-08-22","2-5 Miles","CA","California","US","United States","94303",4,"192.0.2.99"
15542,301,"AW00015542","Andrea","L","Baker","1973-04-18","F","andrea38@adventure-works.com","6688 Las Quebrados Ln.","2021-08-20","0-1 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
15543,59,"AW00015543","Emma","P","Flores","1967-09-23","F","emma58@adventure-works.com","6235 Bayview Cr","2022-04-15","2-5 Miles","BC","British Columbia","CA","Canada","V8P",6,"198.51.100.60"
15544,325,"AW00015544","Thomas","J","Brown","1968-06-12","M","thomas64@adventure-works.com","3966 Bonifacio","2022-04-28","2-5 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
15545,307,"AW00015545","Jennifer","S","Rivera","1972-02-07","F","jennifer62@adventure-works.com","7515 Royal Oak Rd.","2022-07-16","0-1 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
15546,552,"AW00015546","Robert","Z","Jenkins","1966-11-18","M","robert20@adventure-works.com","9972 San Miguel Rd","2022-12-18","10+ Miles","OR","Oregon","US","United States","97068",1,"203.0.113.45"
15547,314,"AW00015547","Cassidy",NULL,"Wood","1967-04-05","F","cassidy2@adventure-works.com","4058 First Ave","2021-08-17","0-1 Miles","CA","California","US","United States","94015",4,"192.0.2.61"
15548,385,"AW00015548","Morgan","J","Brooks","1966-03-12","F","morgan67@adventure-works.com","8309 Colonial Way","2021-08-25","2-5 Miles","CA","California","US","United States","91364",4,"192.0.2.132"
15549,49,"AW00015549","Richard","R","Davis","1972-12-03","M","richard45@adventure-works.com","9363 Vista Bonita","2022-01-11","2-5 Miles","BC","British Columbia","CA","Canada","V8Y 1L1",6,"198.51.100.50"
15550,611,"AW00015550","Orlando",NULL,"Alonso","1978-05-17","M","orlando8@adventure-works.com","7355 Macarthur Avenue","2022-11-29","0-1 Miles","WA","Washington","US","United States","98312",1,"203.0.113.104"
15551,612,"AW00015551","Kaylee","T","Gray","1973-01-02","F","kaylee4@adventure-works.com","4022 H Pine Creek Way","2021-08-22","2-5 Miles","WA","Washington","US","United States","98168",1,"203.0.113.105"
15552,631,"AW00015552","Tyler","C","Lewis","1972-12-28","M","tyler21@adventure-works.com","9 Serrana Ct.","2021-08-19","2-5 Miles","WA","Washington","US","United States","98501",1,"203.0.113.124"
15553,301,"AW00015553","Ivan",NULL,"Lopez","1972-12-08","M","ivan13@adventure-works.com","4029 The Alameda","2021-08-20","0-1 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
15554,311,"AW00015554","Zoe","L","Bailey","1973-03-01","F","zoe14@adventure-works.com","8904 La Salle Ave","2021-09-03","0-1 Miles","CA","California","US","United States","94519",4,"192.0.2.58"
15555,352,"AW00015555","Hailey",NULL,"Barnes","1966-04-22","F","hailey24@adventure-works.com","71 Westwood Lane","2021-09-16","2-5 Miles","CA","California","US","United States","94303",4,"192.0.2.99"
15556,65,"AW00015556","Dylan",NULL,"Davis","1976-11-08","M","dylan32@adventure-works.com","5082 Longview Road","2022-03-03","2-5 Miles","BC","British Columbia","CA","Canada","V9B 5T2",6,"198.51.100.66"
15557,348,"AW00015557","Nathaniel",NULL,"Murphy","1966-02-11","M","nathaniel16@adventure-works.com","105 Woodruff Ln.","2021-09-05","0-1 Miles","CA","California","US","United States","94611",4,"192.0.2.95"
15558,633,"AW00015558","Hailey",NULL,"Morris","1965-09-29","F","hailey1@adventure-works.com","3902 Gary Drive","2021-09-01","2-5 Miles","WA","Washington","US","United States","98371",1,"203.0.113.126"
15559,49,"AW00015559","Devin","A","Flores","1970-05-22","M","devin51@adventure-works.com","5812 Pepperridge Pl.","2022-02-12","2-5 Miles","BC","British Columbia","CA","Canada","V8Y 1L1",6,"198.51.100.50"
15560,611,"AW00015560","Gabrielle","E","Gray","1964-09-17","F","gabrielle15@adventure-works.com","3450 Breck Court","2022-05-11","2-5 Miles","WA","Washington","US","United States","98312",1,"203.0.113.104"
15561,543,"AW00015561","Angel","B","Young","1970-01-24","M","angel40@adventure-works.com","5097 Bourton Ct.","2021-09-01","2-5 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
15562,611,"AW00015562","Kaitlyn","I","James","1976-04-15","F","kaitlyn63@adventure-works.com","3478 Liana Lane","2021-09-25","2-5 Miles","WA","Washington","US","United States","98312",1,"203.0.113.104"
15563,618,"AW00015563","Luke",NULL,"Lopez","1970-07-10","M","luke44@adventure-works.com","6139 Deermeadow Way","2022-10-05","0-1 Miles","WA","Washington","US","United States","98027",1,"203.0.113.111"
15564,66,"AW00015564","Eduardo",NULL,"Hughes","1970-02-21","M","eduardo56@adventure-works.com","7751 Mendocino Dr.","2022-05-28","0-1 Miles","BC","British Columbia","CA","Canada","V0",6,"198.51.100.67"
15565,616,"AW00015565","Kyle",NULL,"Mitchell","1964-08-06","M","kyle40@adventure-works.com","673 Hawes St.","2021-08-29","2-5 Miles","WA","Washington","US","United States","98201",1,"203.0.113.109"
15566,57,"AW00015566","Aaron",NULL,"Foster","1970-09-21","M","aaron15@adventure-works.com","4461 Centennial Way","2022-07-07","0-1 Miles","BC","British Columbia","CA","Canada","V2M1P1",6,"198.51.100.58"
15567,49,"AW00015567","Carmen","V","Madan","1964-12-21","F","carmen10@adventure-works.com","7682 Vista","2022-07-22","0-1 Miles","BC","British Columbia","CA","Canada","V8Y 1L1",6,"198.51.100.50"
15568,325,"AW00015568","Aaron","A","Hayes","1963-07-11","M","aaron22@adventure-works.com","5274 Holbrook Dr","2021-09-25","2-5 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
15569,536,"AW00015569","Morgan",NULL,"Ward","1974-08-22","F","morgan60@adventure-works.com","5186 Oeffler Ln.","2021-09-16","0-1 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
15570,372,"AW00015570","Brianna","L","Powell","1975-02-05","F","brianna54@adventure-works.com","4016 Boyd","2021-09-22","0-1 Miles","CA","California","US","United States","91977",4,"192.0.2.119"
15571,65,"AW00015571","Angel","G","Allen","1975-03-06","M","angel39@adventure-works.com","9209 Mendocino Drive","2022-01-28","2-5 Miles","BC","British Columbia","CA","Canada","V9B 5T2",6,"198.51.100.66"
15572,54,"AW00015572","Anna","B","Garcia","1963-09-16","F","anna54@adventure-works.com","6477 Willow Pass Rd.","2022-07-03","2-5 Miles","BC","British Columbia","CA","Canada","V7L 4J4",6,"198.51.100.55"
15573,634,"AW00015573","Thomas","E","Wilson","1969-08-21","M","thomas67@adventure-works.com","6853 Hacienda","2022-10-05","0-1 Miles","WA","Washington","US","United States","98052",1,"203.0.113.127"
15574,383,"AW00015574","Carlos","B","Peterson","1969-01-17","M","carlos6@adventure-works.com","7907 Eagle Peak Road","2023-01-07","0-1 Miles","CA","California","US","United States","91791",4,"192.0.2.130"
15575,23,"AW00015575","Alvin","B","Ye","1985-01-06","M","alvin9@adventure-works.com","570 Guerrero","2021-10-29","2-5 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
15576,9,"AW00015576","Carly","J","Raje","1976-03-18","F","carly13@adventure-works.com","2391 Pepper Place","2021-11-23","0-1 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
15577,10,"AW00015577","Mayra","E","Malhotra","1975-08-25","F","mayra4@adventure-works.com","5623 Detroit Ave.","2022-04-04","0-1 Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
15578,35,"AW00015578","Diane",NULL,"Gill","1981-08-16","F","diane18@adventure-works.com","6163 Craig Drive","2021-11-10","0-1 Miles","VIC","Victoria","AU","Australia","3000",9,"198.51.100.36"
15579,31,"AW00015579","Brittany",NULL,"Coleman","1973-07-04","F","brittany5@adventure-works.com","8198 Lynwood Drive","2022-02-09","2-5 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
15580,33,"AW00015580","Ruben",NULL,"Raman","1979-02-20","M","ruben13@adventure-works.com","7317 Cortes","2021-10-28","2-5 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
15581,36,"AW00015581","Toni",NULL,"Perez","1973-10-25","F","toni22@adventure-works.com","2444 North Ranchford","2022-08-09","2-5 Miles","VIC","Victoria","AU","Australia","3337",9,"198.51.100.37"
15584,13,"AW00015584","Christy",NULL,"Raji","1972-10-14","F","christy39@adventure-works.com","6374 St. Germain Lane","2022-03-26","10+ Miles","NSW","New South Wales","AU","Australia","2444",9,"198.51.100.14"
15585,19,"AW00015585","Roy","H","Garcia","1978-03-05","M","roy15@adventure-works.com","9850 Martindale","2021-11-21","10+ Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
15586,21,"AW00015586","Victor",NULL,"Blanco","1975-02-24","M","victor16@adventure-works.com","8837 Paris Lane","2021-11-26","0-1 Miles","QLD","Queensland","AU","Australia","4551",9,"198.51.100.22"
15587,33,"AW00015587","Jessica",NULL,"Ward","1980-10-10","F","jessica15@adventure-works.com","7420 Lilac Circle","2021-11-18","0-1 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
